title,fileTitle,license,author,threedLink,scale/x,scale/y,scale/z,size/x,size/y,size/z,useMask,pivot/x,pivot/y,isObject3D
Table Office,officeTable,CC BY 4.0,Nmn9,#threed-link,1,1,1,189.23,75.12,83.44,false,0,0,false
Radio,radio,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,30.65,26.31,8.44,false,0,0,false
Rubix Cube,rubix2,CC BY 4.0,farcgs,#threed-link,1,1,1,5.59,5.59,5.59,false,0,0,false
Spatifilum,spatifilum,CC BY 4.0,heraSK,#threed-link,1,1,1,79.76,87.46,74.9,false,0,0,false
Plant Spider,spider_plant,CC BY 4.0,Nmn9,#threed-link,1,1,1,66.62,34.24,63.62,false,0,0,false
Plant Succulent,succulentPlant,CC BY 4.0,Nmn9,#threed-link,1,1,1,13.69,11.36,12.89,false,0,0,false
Birch Tree With Leaves,birchTreeWithLeaves,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,196.13,186.96,200.27,false,0,0,false
Tree 1 With Leaves,tree1WithLeaves,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,186.1,226.93,242.08,false,0,0,false
Willow Tree No Leaves,willowTreeNoLeaves,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,594.45,950.09,635.88,false,0,0,false
Table 1,table,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,144.34,72.42,93.41,false,0,0,false
Thermometer,thermometer,CC BY 4.0,DennisH2010,#threed-link,1,1,1,7.66,17.08,5.92,false,0,0,false
Laptop Computer,laptop,CC BY 4.0,Mayollo,#threed-link,1,1,1,33.89,26.6,25.32,false,0,0,false
Sef-Kasa,sef-kasa,CC BY 4.0,bocko,#threed-link,1,1,1,50.5,50.5,54.71,false,0,0,false
Toilets Unit,toilets_unit_jay_hardy,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,41.25,76.57,54.38,false,0,0,false
Towel,towel,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,14.53,45.4,13.42,false,0,0,false
Toy Train,toyTrain,CC BY 4.0,RegusTtef,#threed-link,1,1,1,30.14,9.62,12.35,false,0,0,false
Treadmill,treadmill,CC BY 4.0,muhtesemozcinar,#threed-link,1,1,1,88.46,152.58,195.81,false,0,0,false
Tulip,tulip,CC BY 4.0,Nmn9,#threed-link,1,1,1,38.05,39.85,43.79,false,0,0,false
TV Stand,tvStand,CC BY 4.0,Leximumxii,#threed-link,1,1,1,135.14,52.55,46.51,false,0,0,false
Wall Double Socket,wallDoubleSocket,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,15.49,7.92,1,false,0,0,false
Wall Socket,wallSocket,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,7.71,7.92,0.82,false,0,0,false
Suit Jacket,suit,CC BY 4.0,rosenth,#threed-link,1,1,1,44,60,11.76,false,0,0,false
Wardrobe,wardrobe,CC BY 4.0,SirOccor,#threed-link,1,1,1,92.14,200,68,false,0,0,false
Washbin,washbasin_jay_hardy,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,59.73,86.74,43.1,false,0,0,false
Washing Machine,washing_machine,CC BY 4.0,Cattail,#threed-link,1,1,1,60.02,73.5,62.4,false,0,0,false
