title,license,author,threedLink,scale/x,scale/y,scale/z,size/x,size/y,size/z,useMask,pivot/x,pivot/y
skyLight,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,100,50,150,true,,
internalDoorOpen,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,90.4,205.3,91.25,true,0,-36
fixedSmallWindow,Free Art License 1.3,Ola-Kristian Hoff,#threed-link,1,1,1,60,60,16,true,,
gabledRoof,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,1000,250,1000,,,
pyramidalRoof,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,707.1,250,707.1,,,
halfPyramidalRoof,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,945.01,250,475.83,,,
railwaySleeper,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,239.99,10,20,,,
couch,CC0,ThreeD Garden,#threed-link,1,1,1,207.43,85.58,87.63,,,
crate,CC0,ThreeD Garden,#threed-link,1,1,1,60,59.38,58.9,,,
cupboard,CC0,ThreeD Garden,#threed-link,1,1,1,100.55,149.99,39.01,,,
deckChair,CC0,ThreeD Garden,#threed-link,1,1,1,71.68,83.98,125.29,,,
desk,CC0,ThreeD Garden,#threed-link,1,1,1,139.34,105.44,54.28,,,
desklamp,CC0,ThreeD Garden,#threed-link,1,1,1,24.39,39.99,24.39,,,
doubleOven,CC0,ThreeD Garden,#threed-link,1,1,1,59.99,108.9,51.53,,,
fireExtinguisher,CC0,ThreeD Garden,#threed-link,1,1,1,31.07,62.31,18.01,,,
kalender,CC0,ThreeD Garden,#threed-link,1,1,1,12.01,10.81,7.93,,,
kitchenaid,CC0,ThreeD Garden,#threed-link,1,1,1,21.37,35.29,35.99,,,
led_tv,CC0,ThreeD Garden,#threed-link,1,1,1,77.51,50.78,14.17,,,
lockedLocker,CC0,ThreeD Garden,#threed-link,1,1,1,20,40,21.98,,,
L_shaped_sofa,CC0,ThreeD Garden,#threed-link,1,1,1,233.68,79.98,143.64,,,
mano_cooktop,CC0,ThreeD Garden,#threed-link,1,1,1,58,3.81,49.99,,,
modernArmchair,CC0,ThreeD Garden,#threed-link,1,1,1,77.31,86.45,84.92,,,
mofx_mailbox,CC0,ThreeD Garden,#threed-link,1,1,1,15.89,81.55,46.49,,,
numberLock,CC0,ThreeD Garden,#threed-link,1,1,1,9.98,10.24,0.43,,,
oakChair,CC0,ThreeD Garden,#threed-link,1,1,1,49.09,117.81,61.21,,,
oakTable,CC0,ThreeD Garden,#threed-link,1,1,1,124,74.13,123.99,,,
oven,CC0,ThreeD Garden,#threed-link,1,1,1,59.99,57.76,51.53,,,
plasticChair,CC0,ThreeD Garden,#threed-link,1,1,1,44.42,82,58.39,,,
poolTable,CC0,ThreeD Garden,#threed-link,1,1,1,255.95,82.35,139.25,,,
radiator,CC0,ThreeD Garden,#threed-link,1,1,1,140.34,73.07,24.69,,,
radiator1,CC0,ThreeD Garden,#threed-link,1,1,1,216.32,83.36,14.3,,,
radiator2,CC0,ThreeD Garden,#threed-link,1,1,1,132.64,45.65,41.41,,,
relaxChair,CC0,ThreeD Garden,#threed-link,1,1,1,66.05,84.71,190.03,,,
shelves,CC0,ThreeD Garden,#threed-link,1,1,1,82.98,81.9,39.37,,,
